# blind_009
timestamp: 2026-05-16T01:31:09.405232
elapsed_seconds: 14.75

## Truth
  expected_stream: stream_2_perspective_gap
  expected_broad_jp_coverage: reported
  expected_angle_jp_coverage: unreported
  expected_tier: tier_2_wire_service
  in_golden_set: True

## Predicted
  stream: stream_1_silence_gap
  broad_jp_coverage: False
  angle_jp_coverage: None
  broad_matched_tier: None
  angle_matched_tier: None
  error_message: None
  angle_query_fallback_reason: None

## Queries
  broad_query: The real reason Iran and the US cannot end the war: Money 日本 報道
  angle_query: None

## Results
  broad: {"urls": ["https://ksb.co.jp", "https://livedoor.com", "https://youtube.com"], "matched_urls": [], "excluded_urls": ["https://youtube.com"], "matched_tier": null}
  angle: None

## Hits
  jp_media_hits_broad: []
  jp_media_hits_angle: []
  excluded_count_broad: 1
  excluded_count_angle: 0
