# cls-0c7fa7c667d6
timestamp: 2026-05-16T01:35:19.570027
elapsed_seconds: 5.18

## Truth
  expected_stream: stream_1_silence_gap
  expected_broad_jp_coverage: unreported
  expected_angle_jp_coverage: unreported
  expected_tier: None
  in_golden_set: False

## Predicted
  stream: stream_1_silence_gap
  broad_jp_coverage: False
  angle_jp_coverage: None
  broad_matched_tier: tier_2_wire_service
  angle_matched_tier: None
  error_message: None
  angle_query_fallback_reason: None

## Queries
  broad_query: Russian man sets himself on fire at war memorial on anniversary of Ukraine invasion, authorities suppress news of it 日本 報道
  angle_query: None

## Results
  broad: {"urls": ["https://afpbb.com", "https://courrier.jp", "https://youtube.com", "https://japanpen.or.jp", "https://arabnews.jp", "https://youtube.com", "https://youtube.com", "https://youtube.com", "https://youtube.com", "https://youtube.com"], "matched_urls": ["https://afpbb.com"], "excluded_urls": ["https://youtube.com", "https://youtube.com", "https://youtube.com", "https://youtube.com", "https://youtube.com", "https://youtube.com"], "matched_tier": "tier_2_wire_service"}
  angle: None

## Hits
  jp_media_hits_broad: ['afpbb.com']
  jp_media_hits_angle: []
  excluded_count_broad: 6
  excluded_count_angle: 0
