# covered_005
timestamp: 2026-05-16T01:33:14.990958
elapsed_seconds: 11.74

## Truth
  expected_stream: stream_2_perspective_gap
  expected_broad_jp_coverage: reported
  expected_angle_jp_coverage: unreported
  expected_tier: tier_1_newspaper
  in_golden_set: True

## Predicted
  stream: stream_1_silence_gap
  broad_jp_coverage: False
  angle_jp_coverage: None
  broad_matched_tier: None
  angle_matched_tier: None
  error_message: None
  angle_query_fallback_reason: None

## Queries
  broad_query: ブラジル ルラ政権、アマゾン開催の COP30 で狙うグローバルサウス主導役 日本 報道
  angle_query: None

## Results
  broad: {"urls": ["https://youtube.com", "https://worldtimes.co.jp", "https://worldtimes.co.jp", "https://ide.go.jp", "https://meti.go.jp"], "matched_urls": [], "excluded_urls": ["https://youtube.com"], "matched_tier": null}
  angle: None

## Hits
  jp_media_hits_broad: []
  jp_media_hits_angle: []
  excluded_count_broad: 1
  excluded_count_angle: 0
